SID,Text,Like Count,Reply Count,Retweet Count,NewFinal,label,sentiment
1,read my new oped its not a hoax soldiers died 20 usa soldiers have died in afghanistan in 2019 and four more were killed in 2020 we sent soldiers in early 2019 trump found out that our usa soldiers were being hunted like pokã£â©mon he did nothing 29,6,0,4,E,2,neutral
2,a talibanal qaeda takeover of afghanistan 20 years after 911ã¢ââwhich now seems a certaintyã¢ââwill be a historic humiliating defeat for the united states and an extremely dangerous development for civilized humanity foreignaffairs foreignpolicy terrorism,3,0,0,E,2,negative
3,so happy our troops are coming home but please pray for the women and children of afghanistan keepthemsafe,13,1,0,E,2,neutral
4,pop shit like taliban loading up them sticks in the van,0,0,0,E,2,neutral
5,islam has nothing to do with the ground realities islam has its power the world saw a practical example of this in afghanistan modern weapons modern technology and strong economy on the one hand and unarmed taliban on the other who were in a state of disarray,0,0,0,E,2,neutral
6,for what sin she was killed afghanistan,13,0,4,E,2,negative
7,were all grateful clinton weighed in on afghanistan withdrawal,0,0,0,E,2,neutral
8,open alcatrazpotusa and you explain how the afghanistan withdrawal is happening have you spoken to the afghan people and parties involveddo you realise youve usaed 911 as a political tool 0010,0,0,0,E,2,neutral
9,the cost of usa withdrawal from afghanistan get ready the taliban are coming via,8,0,4,E,2,neutral
10,as much as it is gratifying to see all usa troops leave afghanistan it us equally sad that by doing so the afghan people especially women will suffer greatly as the taliban will unquestionably take over with al qaeda by its side to spread their insane terrorism on innocents,0,0,0,E,2,negative
11,stop helping pakistan ã¢ââ¦clearancejobsã¢ââ© ã¢ââany afghan that wastes time talking incorrectly about the usa action of making the taliban recognize the afghan government as ã¢ââsome kind of betrayalã¢ââ only helps one nation that nation is pakistanã¢ââ,4,0,0,E,2,neutral
12,ret gen petraeus pans bidenã¢ââs afghanistan pullout says taliban will retake country and usa will regret it via warmonger,0,0,0,E,2,neutral
13,the government who has spent 1 trillion dollars on a war in afghanistan is here to protect you from being ripped off by someone who wants 6 for a gallon of gas,4,1,0,E,2,neutral
14,check out zahras video tiktok may allah grant them ease sob freepalastine afghanistan,0,0,0,E,2,neutral
15,he isnt the 1stthey are many more who commit murders and terror attacks on behalf of the kabul regime to disrupt usa withdrawal though i seriously doubt that usa is going to withdraw its pmcs too from afghanistanhowever kabul admin wants usa forces to stay as well,8,8,4,E,2,negative
16,muslim terrorists from kandahar afghanistan also influenced the identified thieves to go on live national television telling any sort of insulting lie that they could with honor from oprah winfrey,0,0,0,E,2,neutral
17,ã¢ââthey are not handed over to afghan forces they are brought here and are scrapped and are sold to our afghans for the price of iron scrapã¢ââ said mohammad asif a bagram residentã¢,0,0,0,E,2,neutral
18,advocates of americas forever war in afghanistan keep invoking the vietnam war was it bad that the usa withdrew from vietnam that americans stopped dying there and killing vietnamese does the united states not enjoy productive relations with vietnam today,134,10,16,E,2,negative
19,this world is full of injustice and conflict but whether it be palestine or afghanistan the victims of politics and war are always the poorest most susceptible women children i dream of a world when war and violence are things of a distant past freepalestine freeafg,103,3,13,E,2,neutral
20,insightful yet frightening interview on afghanistan from warning of an increase in violence and attacks by the taliban in coming months we must ensure civilians have the protection and resources they need,0,0,0,E,2,neutral
21,in talibancontrolled areas girls are fleeing for one thing anã¢ education,0,0,0,E,2,neutral
22,he is thinking of all the time he will spend in jail for what he did in afghanistan,0,0,0,E,2,neutral
23,an undefeated nation afghanistan,7,0,0,E,2,neutral
24,as the war ends so too must the detention of guantã£â¡namo bay prisoners detained in connection to it,4,0,0,E,2,neutral
25,still some people think that taliban has changed taliban is taliban means they are terrorists they are totalitarian and they are authoritarian they want islamic emirate donã¢âât expect them to respect human rightsand womenã¢ââs rights notoisamicemirate,0,0,0,E,2,neutral
26,norwayinafghanistan is flying our flag for norway flag at halfmast in respect and sympathy we share the distress with the people of afghanistan flag for afghanistan and victims of attacks in dashte barchi and pule alamã¢,102,7,12,E,2,neutral
27,if usaa along with nato can land in afghanistan to crub terrorists as per their claim so why cant all muslim countries gather up to curtial israel terrorist activities in al aqsa to free the innocent palestinian un armed children women men ã¸â§ã¹âã¹ ã¸â³ã¸â¬ã¸â¯ã¸â§ã¹âã¸â£ã¹âã¸âµã¹â,0,1,0,E,2,neutral
28,afghan girls torn between fears and ambitions after school attack article amp reuters,0,0,0,E,2,neutral
29,we stand with afghanistan we stand with pukhtoons we stand with our brothers and sisters as we are afghan anprejectsantiafghanpolice,0,0,0,E,2,neutral
30,what did the usa airdrop to the children of afghanistan a horde of vikings,0,0,0,E,2,neutral
31,as the taliban moves to take over power from the americans the worst nightmare of the afghan women might be returning the world will not be able to look away the greatest challenge to gender politics might come from afghanistan new essay,13,1,11,E,2,neutral
32,these infidels were never and will never be our friends they wanted to suppress and oppress the afghan nation but are fleeing now after a shameful defeat it is not only usa that faced defeat in afghanistan many shaitani forces has done so in the past,0,0,0,E,2,negative
33,my parents never spoke about world events with us but overhearing their conversations w each other about the racism they were experiencing after migrating their sadness and anger at the war on iraqandafghanistan the rising islamophabia etcraised me to always speak truth to power,3,0,0,E,2,neutral
34,president joe biden pulling troops out of afghanistan is very stupid on ur part ur abandoning the afghanistan people very wrong very wrong,0,0,1,E,2,negative
